Name,Weight (kg),Height (cm),Country,Age,Team,Sport,Gender,Weight ClassWIN,LOSS,DRAW,W TKO,W Submission,W Disqualification,W Unanimous Decision,W Split Decision,L TKO,L Submission,L Disqualification,L Unanimous Decision,L Split Decision,Total Fights
Alyona Rassohyna,52.2,157.0,Ukraine,35,Yarost Gym,MMA,Male,Strawweight,1,2,0,0,1,0,0,0,1,0,0,0,1,3
Alyse “Lil' Savage” Anderson,51.9,165.0,United States,30,MMA Masters,MMA,Male,Atomweight,1,3,0,0,1,0,0,0,0,0,0,2,0,4
Amarsanaa “Spear” Tsogookhuu,77.1,178.0,Mongolia,34,Team Amaraa,MMA,Male,Lightweight,2,1,0,0,0,0,2,0,0,0,0,0,0,3
Amber “AK 47” Kitchen,58.1,170.0,United Kingdom,26,Bad Company,Muay Thai,Male,Flyweight,0,4,0,0,0,0,0,0,0,0,0,3,1,4
Amil “The Problem” Shahmarzade,-1,174.0,Azerbaijan,30,Tiger Muay Thai,Muay Thai,Male,Out of range,0,2,0,0,0,0,0,0,0,0,0,1,0,2
Amir “The Tiger” Abdulmuslimov,60.8,176.0,Russia,22,Team Mehdi Zatout,Muay Thai,Male,Flyweight,1,2,0,0,0,0,0,0,0,0,0,1,1,3
Amir El Dakkak,-1,178.0,Sweden,21,Team Mehdi Zatout,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Amir Khan,76.7,180.0,Singapore,30,Evolve MMA,MMA,Male,Lightweight,13,9,0,5,2,0,1,2,0,2,0,2,2,22
Amir Naseri,60.9,175.0,Iran / Malaysia,33,Tiger Muay Thai,Muay Thai,Male,Flyweight,0,4,0,0,0,0,0,0,0,0,0,3,0,4
Amnartdet Sitnayokmot,-1,165.0,Thailand,21,Sor Phumipat,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Amnuaydet Wor Wantawee,-1,161.0,Thailand,28,Wor Wantawee,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Amy Pirnie,56.7,162.0,Scotland,32,Inferno Muay Thai,Muay Thai,Male,Flyweight,1,1,0,0,0,0,0,0,0,0,0,1,0,2
An Bunhour,-1,160.0,Cambodia,29,Kiatsongrit gym,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Anacleto “Tenacity” Lauron,70.0,167.0,Philippines,33,FightYard Fabricio,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Andre “Deco” Galvao,92.0,170.0,Brazil,42,Atos Jiu-Jitsu,Submission Grappling,Male,Middleweight,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Andrei “Mr. KO” Stoica,100.6,188.0,Romania,38,Stoica Brothers Fight Academy,Kickboxing,Male,Light Heavyweight,3,3,0,0,0,0,1,0,0,0,0,2,1,6
Andrey Chelbaev,-1,166.0,Russia,30,Tiger Muay Thai,MMA,Male,Out of range,1,1,0,0,0,0,1,0,1,0,0,0,0,2
Andrey Khromov,-1,181.0,Russia,34,Imperia club,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Andrii Mezentsev,-1,168.0,Ukraine,25,Muay Thai Spirit / Revolution Muay Thai Phuket,Muay Thai,Male,Out of range,1,2,0,0,0,0,0,1,0,0,0,1,1,3
Angel “Ironside” Bauza,-1,183.0,Argentina,27,Dojo Serpiente / Silk Muay Thai,Muay Thai,Male,Out of range,1,1,0,1,0,0,0,0,0,0,0,0,0,2
Angelos “The Bullet” Giakoumis,-1,167.0,Greece,31,BG Kickboxing / Power House Phuket,Muay Thai,Male,Out of range,0,2,0,0,0,0,0,0,0,0,0,2,0,2
Anissa “C18” Meksen,52.0,168.0,Algeria / France,37,Korean Tiger Studios,Kickboxing,Male,Atomweight,4,2,0,1,0,0,3,0,0,0,0,2,0,6
Anita Karim,51.7,153.0,Pakistan,28,Fairtex Training Center,MMA,Male,Atomweight,3,0,0,0,1,0,2,0,0,0,0,0,0,3
Anna “Supergirl” Jaroonsak,53.1,172.0,Thailand,21,Jaroonsak Muaythai,Kickboxing,Male,Strawweight,3,2,0,0,0,0,1,1,1,0,0,0,1,5
Anna Lia “Tremate” Moretti,-1,167.0,Italy,34,Team Reza Goodary,Kickboxing,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Antar Kacem,65.4,183.0,Belarus / France,26,Team Mehdi Zatout / Team Nasser K,Muay Thai,Male,Bantamweight,5,3,0,0,0,0,1,2,0,0,0,1,1,8
“The Antidote” Anthony Do,56.7,163.0,United States,32,American Kickboxing Academy,MMA,Male,Flyweight,1,1,0,0,1,0,0,0,0,0,0,1,0,2
Anton Petrov,-1,178.0,Bulgaria,25,Anton Petrov Academy / Phuket Fight Club,Muay Thai,Male,Out of range,1,1,0,1,0,0,0,0,0,0,0,1,0,2
Anton Salchak,53.9,161.0,Russia,29,Red Eagles,Muay Thai,Male,Strawweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Antonio Bushev,-1,183.0,Bulgaria,27,Armeec Gym,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Antonio “The Spartan” Caruso,77.1,180.0,Australia,34,Hard Knocks 365,MMA,Male,Lightweight,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Antonio Mammarella,70.31,183.0,Australia,25,MMAFFT,MMA,Male,Lightweight,0,2,0,0,0,0,0,0,0,1,0,1,0,2
Antonio Orden,56.2,172.0,Spain,33,El Origen Thaimartin,Muay Thai,Male,Strawweight,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Antonio “Pecorino” Piana,-1,162.0,Italy,26,7 Muay Thai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Anurak Wankhongohm MBK,-1,170.0,Thailand,24,TDed99,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Apidet FiatPathum,55.0,175.0,Thailand,19,Fiatpathum,Muay Thai,Male,Strawweight,1,1,0,0,0,0,0,0,0,0,0,0,1,2
Apidet Namduemmee77,53.0,169.0,Thailand,-1,Kiatpetch,Muay Thai,Male,Strawweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Apisit Fairtex,-1,172.0,Thailand,37,Fairtex Training Center,Muay Thai,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Apiwat Sor Somnuk,58.8,165.0,Thailand,32,Sor Somnuk,Muay Thai,Male,Flyweight,4,3,0,0,0,0,2,0,0,0,0,1,1,7
Aqib “The Alpha” Awan,-1,167.0,Pakistan,29,Phuket Fight Club / Team Fight Fortress,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Arashi “Storm” Sakamoto,54.4,168.0,Japan,20,King Boxing Camp,Muay Thai,Male,Strawweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Arian “Destroyer” Esparza,65.77,175.0,United States,22,Sakasit PRS Gym,Muay Thai,Male,Featherweight,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Arian “Game Over” Sadikovic,76.7,181.0,Bosnia and Herzegovina / Germany,30,Fightschool Hannover / Team CSK,Kickboxing,Male,Lightweight,2,1,0,0,0,0,2,0,0,0,0,1,0,3
Ariel “Tarzan” Sexton,75.7,178.0,Canada / Costa Rica,43,Renzo Gracie Fight Academy / Team Daniel Gracie,MMA,Male,Lightweight,5,3,0,1,4,0,0,0,1,0,0,1,1,8
Arif “Ayep Sc” Izzudin,56.7,163.0,Malaysia,35,Equinox MMA,MMA,Male,Flyweight,0,2,0,0,0,0,0,0,2,0,0,0,0,2
Arsenio “The Filipino Assassin” Balisacan,56.7,168.0,Philippines,29,T-Rex MMA,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Arsoonnoi Sitjasing,-1,165.0,Thailand,24,Sitjasing,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Artem Belakh,65.8,173.0,Russia,29,10th Planet Krasnodar / Tiger Muay Thai,MMA,Male,Featherweight,2,1,0,1,0,0,1,0,1,0,0,0,0,3
Arya Akbari,73.4,185.0,Iran,23,Petchsaman Gym,Muay Thai,Male,Lightweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Asa “The American Ninja” Ten Pow,65.4,173.0,United States,35,Florida Kickboxing Academy,Muay Thai,Male,Bantamweight,3,2,0,2,0,0,0,0,1,0,0,0,0,5
Asadula Imangazaliev,60.2,180.0,Russia,21,Team Mehdi Zatout,Muay Thai,Male,Flyweight,5,0,0,0,0,0,1,0,0,0,0,0,0,5
Asahi Shinagawa,56.7,168.0,Japan,23,Eiwa Sports Gym,Muay Thai,Male,Flyweight,1,1,0,0,0,0,0,1,0,0,0,0,0,2
Asha “Knockout Queen” Roka,52.2,159.0,India / Nepal,26,Sanshinkan,MMA,Male,Strawweight,0,3,0,0,0,0,0,0,0,2,0,1,0,3
Ashley Williams,65.77,178.0,United Kingdom,32,Draig,Submission Grappling,Male,Featherweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Ashraf Fauzi,70.3,177.0,Singapore,32,Juggernaut Fight Club,MMA,NA,Featherweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Aslamjon Ortikov,57.7,174.0,Uzbekistan,21,Sport club Shakhriyor / TC Muaythai,Muay Thai,Male,Flyweight,7,0,0,1,0,0,4,0,0,0,0,0,0,7
Aslanbek Zikreev,56.5,165.0,Russia,29,Kuzbass Muay Thai,Kickboxing,Male,Strawweight,2,3,0,0,0,0,0,2,0,0,0,2,1,5
