Name,Weight (kg),Height (cm),Country,Age,Team,Sport,Gender,Weight ClassWIN,LOSS,DRAW,W TKO,W Submission,W Disqualification,W Unanimous Decision,W Split Decision,L TKO,L Submission,L Disqualification,L Unanimous Decision,L Split Decision,Total Fights
Mehdi “Diamond Heart” Zatout,65.3,173.0,Algeria,41,Venum Training Camp Thailand,Boxing,Male,Bantamweight,4,3,0,1,0,0,2,1,0,0,0,3,0,7
Mehrdad “Black Wolf” Khanzadeh,55.2,170.0,Iran,24,Fight Nation Hua Hin,Muay Thai,Male,Strawweight,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Mei “V.V” Yamaguchi,51.8,153.0,Japan,42,HybridFighter,Submission Grappling,Male,Atomweight,6,6,1,0,3,0,3,0,0,0,0,5,1,13
Meng Bo,56.4,164.0,China,29,Tiger Wang Gym,MMA,Male,Strawweight,6,4,0,1,0,0,3,0,0,2,0,2,0,10
Meng Ketuogesi,61.2,170.0,China,31,Sunkin International Fight Club,MMA,Male,Flyweight,3,2,0,1,0,0,2,0,1,0,0,1,0,5
Meysam Adelniya,-1,173.0,Iran,21,Muaythai Kheybar,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Miao Aoqi,65.6,178.0,China,23,Liu Xiangming Fight Club,Muay Thai,Male,Bantamweight,1,2,0,1,0,0,0,0,0,0,0,2,0,3
Miao Li Tao,56.7,165.0,China,32,Sunkin International Fight Club,MMA,Male,Flyweight,4,4,0,1,0,0,2,0,1,0,0,2,0,8
Michael Baranov,69.9,183.0,Russia,22,Tiger Muay Thai,Muay Thai,Male,Featherweight,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Michael Walker,65.8,168.0,United States,27,Westside MMA,Kickboxing,Male,Featherweight,1,2,0,0,0,0,1,0,0,0,0,2,0,3
Michelle Nicolini,56.7,160.0,Brazil,43,Vila Da Luta,MMA,Male,Flyweight,4,2,0,0,3,0,1,0,0,0,0,2,0,6
Miguel “El Unico” Trindade,-1,178.0,Portugal,24,Mamba Fight Club,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Mihajlo Kecojevic,102.1,198.0,Serbia,30,Kickboxing Team Sindjelic,Kickboxing,Male,Heavyweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Mikel “Manos de Plomo” Fernandez,-1,175.0,Spain,33,1,Muay Thai,Male,Out of range,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Mikhail “Russian Hitman” Gritsanenko,73.2,180.0,Russia,29,Soma Fight Club,MMA,Male,Lightweight,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Milad Hosseini,-1,170.0,Iran,27,Phuket Fight Club,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Milana Bjelogrlic,-1,171.0,Serbia,29,SB Gym / Tiger Muay Thai,Kickboxing,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Milena Sakumoto,-1,147.0,Brazil / Japan,23,Tree Brazilian Jiu-Jitsu,Submission Grappling,Male,Out of range,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Min “The Rhino” Hyuk Lee,70.3,173.0,South Korea,27,Extreme Combat,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
“Double Hearts” Song Min Jong,64.9,172.0,South Korea,33,Monster House,MMA,Male,Bantamweight,4,3,0,0,2,0,2,0,1,0,0,2,0,7
Min Kyaw Za,64.3,171.0,Myanmar [Burma],23,Zwe Kapin Myay,Muay Thai,Male,Bantamweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Mirza Aliev,-1,181.0,Turkey,26,Club Fighter / Phuket Fight Club,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
“Bullet Princess” Misaki,45.1,155.0,Japan,29,Team Forest,Kickboxing,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Mitchell “Mama's Boy” Chamale,65.8,172.0,Guatemala / United States,40,Fusion Xcel / Tough as Nails,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Mo Hao Xiong,56.7,170.0,China,30,Kunming Quandongli MMA club,MMA,Male,Flyweight,1,1,0,0,0,0,1,0,0,1,0,0,0,2
Mo Yong Hui “Rakshasa”,61.2,175.0,China,25,Changsha Great Muay Thai Gym,Muay Thai,Male,Flyweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Moa “The X-Guard” Carlsson,51.7,162.0,Sweden,22,Halmstad Fight Academy / Team Mehdi Zatout,Kickboxing,Male,Atomweight,2,2,0,0,0,0,2,0,0,0,0,2,0,4
Moe Htet Aung,63.0,168.0,Myanmar [Burma],26,Family Wan Chai,Muay Thai,Male,Bantamweight,2,2,0,1,0,0,0,1,0,0,0,2,0,4
“Dayat” Hidayat Abdul,56.7,160.0,Brunei,35,Khalifa Mixed Martial Arts,MMA,Male,Flyweight,1,1,0,0,1,0,0,0,1,0,0,0,0,2
Mohamed Hanoun,-1,183.0,Morocco,29,Team Mehdi Zatout,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Mohamed Taoufyq,-1,184.0,Morocco,20,Elamghari Muaythai Team / Sathian MuayThai,Muay Thai,Male,Out of range,1,1,0,0,0,0,0,0,0,0,0,1,0,2
Mohamed “The Buraq” Younes Rabah,-1,188.0,Algeria,28,Team Mehdi Zatout,Muay Thai,Male,Out of range,2,1,0,0,0,0,1,0,1,0,0,0,0,3
Mohammad “The Spear” Aburumuh,-1,185.0,Jordan,31,Absoluto,Submission Grappling,Male,Out of range,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Mohammad “Butcher” Ali,-1,174.0,Iran,24,Jaophahin Muaythai,Muay Thai,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Mohammad Fahmi,-1,179.0,Iran,29,Special Fight Club,MMA,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Mohammad Sadeghi,-1,172.0,Iran,23,Tiger Muay Thai,Muay Thai,Male,Out of range,2,2,0,0,0,0,2,0,0,0,0,0,1,4
Mohammad Siasarani,65.77,178.0,Iran,23,Team Mehdi Zatout,Kickboxing,Male,Featherweight,6,2,0,0,0,0,3,1,0,0,0,2,0,8
Mohammed “Jordan Boy” Bin Mahmoud,65.8,175.0,Malaysia,29,Sampuri Muay Thai Gym Ampang,Muay Thai,Male,Featherweight,2,5,0,0,0,0,1,0,1,0,0,2,0,7
Mohammed “Too Sharp” Boutasaa,70.2,183.0,Morocco,25,Southpaw Gym,Kickboxing,Male,Featherweight,3,2,0,0,0,0,2,1,0,0,0,2,0,5
Moises “The Lion King” Lois Ilogon,-1,165.0,Philippines,24,Ox Fitness Lab / The Street,MMA,Male,Out of range,1,1,0,1,0,0,0,0,1,0,0,0,0,2
Mongkolkaew Sor Sommai,59.9,170.0,Thailand,31,Sor Sommai,Muay Thai,Male,Flyweight,2,4,0,0,0,0,1,0,0,0,0,2,0,6
Mongkolpetch Petchyindee,61.2,167.0,Thailand,29,Petchyindee Academy,Muay Thai,Male,Flyweight,4,1,0,0,0,0,2,0,0,0,0,1,0,5
Monjit “Shotgun” Yein,-1,161.0,India,24,Bidang MMA / KROC Sports,MMA,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Moris Boleyan,61.1,165.0,Armenia,26,Lionheart,MMA,Male,Flyweight,2,0,0,0,2,0,0,0,0,0,0,0,0,2
Mowgli Chor Ajalaboon,57.6,173.0,Thailand,23,Phet Si Muen,Muay Thai,Male,Flyweight,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Muanglao Kiattongyot,58.1,165.0,Laos,29,Kiattongyot,Muay Thai,Male,Flyweight,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Muangsap Kiatsongrit,-1,170.0,Thailand,21,Kiatsongrit,Muay Thai,Male,Out of range,0,2,0,0,0,0,0,0,0,0,0,0,1,2
“Elbow Zombie” Muangthai PK Saenchai,65.8,172.0,Thailand,31,PK Saenchai Muaythaigym,Muay Thai,Male,Featherweight,9,4,0,1,0,0,4,2,2,0,0,1,1,13
Muga Seto,61.9,177.0,Japan,28,Victory Gym,Muay Thai,Male,Bantamweight,3,1,0,0,0,0,1,0,0,0,0,0,0,4
Mungkorn Boomdeksean,-1,159.0,Thailand,24,Boomdeksean,Muay Thai,Male,Out of range,2,5,0,0,0,0,1,0,0,0,0,1,2,7
Murad Umachiev,-1,177.0,Russia,30,Gorets FT,MMA,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Murugan “Wolverine” Silvarajoo,63.5,170.0,Malaysia,34,MuayFit,MMA,Male,Bantamweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Musa Musazade,56.7,162.0,Azerbaijan,30,Galaktic Sports,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Mustafa Al Tekreeti,-1,187.0,Iraq,27,Venum Training Camp,Muay Thai,Male,Out of range,2,2,0,0,0,0,1,0,0,0,0,1,1,4
Mustapha “Dynamite” Haida,77.1,182.0,Italy,36,Fight Club Firenze,Kickboxing,Male,Lightweight,1,3,0,0,0,0,0,0,0,0,0,3,0,4
Myung Gu Kim,65.8,176.0,South Korea,35,Independent,MMA,Male,Featherweight,0,2,0,0,0,0,0,0,1,0,0,1,0,2
Bae “Wolverine” Myung Ho,83.9,181.0,South Korea,38,Team Mad,MMA,Male,Welterweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Nachyn “Samurai” Sat,-1,177.0,Mongolia / Russia,27,IdeaJJ Team,MMA,Male,Out of range,3,1,0,1,2,0,0,0,0,0,0,1,0,4
Nadaka Yoshinari,-1,165.0,Japan,24,Eiwa Sports Gym,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Nadyr Aliev,69.8,180.0,Russia,24,Astrakhan Top Team / Tiger Muay Thai,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
“Petsam” Nahyan Mohammed,50.3,172.0,France,16,Petch Muay Thai Gym,Muay Thai,Male,Atomweight,1,1,0,0,0,0,0,0,0,0,0,0,1,2
Nakrob Fairtex,56.7,175.0,Thailand,26,Fairtex Training Center,Muay Thai,Male,Flyweight,10,3,0,2,0,0,4,1,0,0,0,1,0,13
Nam “CAPTAIN MARVEL” Hee Kim,52.2,163.0,South Korea,25,Daecheon Jiu-Jitsu / Ssen Gym,MMA,Male,Strawweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Namiki Kawahara,55.8,170.0,Japan,35,Alpha Male,MMA,Male,Strawweight,0,2,0,0,0,0,0,0,0,0,0,1,0,2
Namphongnoi Sor Sommai,-1,175.0,Thailand,28,Sor Sommai,Muay Thai,Male,Out of range,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Nanami Ichikawa,59.1,164.0,Japan,37,Arete Brazilian Jiu Jitsu,Submission Grappling,Male,Flyweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Nat “Wondergirl” Jaroonsak,56.5,168.0,Thailand,26,Jaroonsak Muaythai / Southside MMA,Muay Thai,Male,Strawweight,3,4,0,1,1,0,0,0,2,0,0,2,0,7
Natalia “Karelian Lynx” Diachkova,56.7,170.0,Russia,30,Team Mehdi Zatout,Muay Thai,Male,Flyweight,5,1,0,1,0,0,2,0,1,0,0,0,0,6
Nathan Bendon,-1,171.0,United Kingdom,32,Domin8 Academy,Kickboxing,Male,Out of range,0,2,0,0,0,0,0,0,0,0,0,2,0,2
Natsuki Takamoto,-1,158.0,Japan,31,TATORU,Submission Grappling,Male,Out of range,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Nauzet Trujillo,76.9,168.0,Spain,35,Fight Club Moi Rui / Susi Team,Muay Thai,Male,Lightweight,1,2,0,0,0,0,1,0,1,0,0,1,0,3
Nawaaek Sor Sommai,60.6,175.0,Thailand,29,Sor Sommai,Muay Thai,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Nefise Delikurt,-1,168.0,Turkey,23,Delikurt Fight Club,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Nehramit Annymuaythai,51.4,165.0,Thailand,20,Keatkhamtorn,Muay Thai,Male,Atomweight,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Nerea Rubio,-1,156.0,Spain,21,TDed99,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Ngaopayak Adsanpatong,57.7,165.0,Thailand,26,Bear Fight Club,Muay Thai,Male,Flyweight,0,3,0,0,0,0,0,0,1,0,0,0,0,3
Nguyen “No.1” Tran Duy Nhat,61.2,167.0,Vietnam,36,Hochiminh City Muay Team,Muay Thai,Male,Flyweight,3,1,0,0,0,0,1,0,0,0,0,0,0,4
Nguyen “Doraemon” Van Thanh,-1,165.0,Vietnam,32,Tank Club,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Ni Gedan,56.7,164.0,China,27,Enbo Gedou,MMA,Male,Flyweight,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Niclas “Dreamchaser” Larsen,69.9,184.0,Denmark,35,Extreme Muay Thai,Muay Thai,Male,Featherweight,0,3,0,0,0,0,0,0,0,0,0,1,0,3
Nico “King of the North” Carrillo,61.23,179.0,Scotland,26,Deachkalek Muay Thai Academy,Muay Thai,Male,Bantamweight,5,1,0,3,0,0,0,0,1,0,0,0,0,6
Nico “The Steel City Kid” Cornejo,70.31,173.0,United States,35,Carlos Machado Jiu Jitsu / Warrior Built MMA,MMA,Male,Lightweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Nicolas Leite Silva,56.7,160.0,Brazil,20,Family Muay Thai,Muay Thai,Male,Flyweight,0,3,0,0,0,0,0,0,0,0,0,3,0,3
Nicolas “El Paisa” Vigna,70.31,185.0,Argentina,35,Aldao Team,MMA,Male,Lightweight,0,2,0,0,0,0,0,0,1,1,0,0,0,2
Nieky “The Natural” Holzken,83.3,182.0,Netherlands,41,Team Holzken Helmon,Kickboxing,Male,Welterweight,6,4,0,2,0,0,1,0,0,0,0,3,0,10
Nittikorn JP Power,-1,165.0,21 Y,-1,JP Power,Muay Thai,Male,Out of range,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Nobutaka Naito,61.2,163.0,Japan,35,Paraestra Matsudo,MMA,Male,Flyweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Noelisson Silva,-1,163.0,Brazil,29,Phuket Fight Club,Muay Thai,Male,Out of range,1,2,0,0,0,0,1,0,1,0,0,1,0,3
Noelle “Lil' Monkey” Grandjean,51.8,153.0,France / Thailand,29,Team Grandjean / Tiger Muay Thai,MMA,Male,Atomweight,2,3,0,1,0,0,1,0,0,1,0,2,0,5
Nong Oh LaoLaneXang,-1,170.0,Laos,33,Lanexang Gym,Muay Thai,Male,Out of range,1,1,0,0,0,0,0,0,0,0,0,1,0,2
Nongam Fairtex,49.8,158.0,Thailand,30,2,Muay Thai,Male,Atomweight,5,1,0,0,0,0,2,0,0,0,0,0,1,6
Nongbia LaoLaneXang,-1,157.0,Laos,27,Lanexang Gym,Muay Thai,Male,Out of range,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Nongchamp Luckybuntherng,-1,162.0,Thailand,24,Sor Sommai,Muay Thai,Male,Out of range,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Nongfahsai TOP PK Saenchai,-1,156.0,Thailand,29,PK Saenchai Muaythaigym,Muay Thai,Male,Out of range,2,2,0,1,0,0,1,0,0,0,0,2,0,4
Nongnuk Mor Kor Chor Chaiyaphum,49.6,163.0,Thailand,21,Rin Muay Thai Boxing camp,Muay Thai,Male,Atomweight,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Nontachai Jitmuangnon,67.8,180.0,Thailand,26,Jitmuangnon Gym,Muay Thai,Male,Featherweight,3,0,0,0,0,0,2,0,0,0,0,0,0,3
Nonthakit Tor Morsri,65.6,175.0,Thailand,30,PK Saenchai Muaythaigym,Muay Thai,Male,Bantamweight,1,3,0,0,0,0,1,0,0,0,0,1,0,4
Noppadet Chor Hapayak,60.5,166.0,Thailand,22,Chor Hapayak,Muay Thai,Male,Flyweight,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Norika Ryu,-1,162.0,Japan,31,Alliance Fight Team,MMA,Male,Out of range,2,0,0,0,1,0,1,0,0,0,0,0,0,2
Nuapet Tded99,-1,173.0,Thailand,27,TDed99,Muay Thai,Male,Out of range,1,2,0,0,0,0,0,0,0,0,0,2,0,3
Nueaphet Kelasport,51.1,160.0,Thailand,27,Kelasport,Muay Thai,Male,Atomweight,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Nuengthoranee Guaybangkorlaem,50.4,167.0,Thailand,25,Guaybangkorlaem,Muay Thai,Male,Atomweight,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Nuengubon Wankhongohm MBK,58.7,177.0,Thailand,21,TDed99,Muay Thai,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Numpangna Eaglemuaythai,63.0,171.0,Thailand,28,Eagle Muay Thai,Muay Thai,Male,Bantamweight,2,2,0,1,0,0,0,0,0,0,0,1,0,4
Numsurin Chor Ketwina,-1,162.0,Thailand,29,Tdet99,Muay Thai,Male,Out of range,5,0,0,0,0,0,3,0,0,0,0,0,0,5
Nurmukhammad “Uzbek Gladiator” Adamkhonov,-1,173.0,Uzbekistan,28,Team Mehdi Zatout,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Nursultan Toktorov,-1,172.0,Kyrgyzstan,23,Team Kyzyl-Kiya,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Odai “The King” Abozraiq,76.7,175.0,Jordan,23,Team Mehdi Zatout,Muay Thai,Male,Lightweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Oh Ho “Spider” Taek,69.6,180.0,South Korea,31,Extreme Combat,MMA,Male,Featherweight,1,2,0,0,0,0,0,1,1,0,0,1,0,3
Oh “Monster” Su Hwan,69.9,175.0,South Korea,29,Diamma,MMA,Male,Featherweight,2,1,0,0,0,0,1,0,0,1,0,0,0,3
Ok Rae Yoon,77.0,183.0,South Korea,34,Team Mad,MMA,Male,Lightweight,4,2,0,0,0,0,4,0,1,0,0,1,0,6
Olaylek Chor Hapayak,-1,165.0,Thailand,23,Sor Kaenchai,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Oliver Axelsson,-1,181.0,Sweden,28,Royal Superpro,MMA,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Oliver Hansen,74.8,187.0,Norway,21,Lionheart Muaythai,Muay Thai,Male,Lightweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Omar Drissi,60.8,178.0,Italy,24,Academy Di Sipio,Muay Thai,Male,Flyweight,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Omar “Ironside” El Halabi,56.9,172.0,Lebanon,26,Team Mehdi Zatout,Muay Thai,Male,Flyweight,1,3,0,0,0,0,0,0,1,0,0,2,0,4
Omar “Ochoo” Kinteh,61.0,174.0,Gambia / Switzerland,23,Sor Dechapan,Muay Thai,Male,Flyweight,2,0,0,0,0,0,1,0,0,0,0,0,0,2
Ongbak Fairtex,65.5,173.0,Thailand,31,Fairtex Training Center,Muay Thai,Male,Bantamweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Osamah Almarwai,60.6,165.0,Yemen,33,Atos,Submission Grappling,Male,Flyweight,0,2,0,0,0,0,0,0,0,2,0,0,0,2
Otgonbaatar Nergui,77.1,175.0,Mongolia,38,Zorky MMA,MMA,Male,Lightweight,1,1,0,0,1,0,0,0,0,1,0,0,0,2
Otis Waghorn,-1,180.0,England,23,Assassins Gym / Tiger Muay Thai,Muay Thai,Male,Out of range,1,2,0,1,0,0,0,0,0,0,0,0,0,3
Otop Or Kwanmuang,-1,175.0,Thailand,19,Sor Sommai,Muay Thai,Male,Out of range,1,3,0,1,0,0,0,0,0,0,0,0,0,4
Padejsuk NF Looksuan,56.9,173.0,Thailand,21,Looksuan,Muay Thai,Male,Flyweight,3,1,0,2,0,0,1,0,0,0,0,0,0,4
Paeyim Sor Boonmeerit,-1,171.0,Thailand,22,Sor Boonmeerit,Muay Thai,Male,Out of range,3,1,0,0,0,0,1,2,0,0,0,0,0,4
Paidang Kiatsongrit,-1,170.0,Thailand,25,Kiatsongrit,Muay Thai,Male,Out of range,1,3,0,0,0,0,1,0,0,0,0,2,0,4
Pakorn PK Saenchai,61.23,170.0,Thailand,34,PK Saenchai Muaythaigym,Muay Thai,Male,Bantamweight,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Palangboon Wor Santai,-1,167.0,Thailand,25,Santai Muaythai Gym,Muay Thai,Male,Out of range,1,2,0,0,0,0,0,1,0,0,0,0,2,3
Pan Jia Yun,65.8,175.0,China,27,XingHui BoJi Club,Kickboxing,Male,Featherweight,3,0,0,0,0,0,2,1,0,0,0,0,0,3
Panlam Sor Sommai,-1,169.0,Thailand,31,Sor Sommai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Panmongkol CMA Academy,-1,172.0,Thailand,23,CMA Academy,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
“The Angel Warrior” Panpayak Jitmuangnon,61.3,175.0,Thailand,29,Jitmuangnon Gym,Muay Thai,Male,Bantamweight,6,3,0,1,0,0,4,0,0,0,0,1,1,9
Panpet Sor Naruemon,61.1,170.0,Thailand,23,Sitsangprab,Muay Thai,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Panrit Lukjaomaesaiwaree,63.3,168.0,Thailand,28,Singha Mawynn Muay Thai,Muay Thai,Male,Bantamweight,6,5,0,1,0,0,3,0,0,0,0,0,0,11
Pansak Wor Wantawee,58.1,167.0,Thailand,25,Wor Wantawee,Muay Thai,Male,Flyweight,3,2,0,0,0,0,2,1,0,0,0,0,0,5
Panthep VK Khaoyai,-1,165.0,Thailand,23,Singpatong / Sitnumnoi Muay Thai Gym,Muay Thai,Male,Out of range,2,2,0,0,0,0,2,0,2,0,0,0,0,4
Pardeep Kumar,77.1,177.0,India,33,Prime Sports,MMA,NA,Lightweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Parham Gheirati,65.4,178.0,Iran,21,Petsaman,Muay Thai,Male,Bantamweight,6,1,0,0,0,0,1,1,1,0,0,0,0,7
Parnpet Sor Jor Lekmuangnon,-1,180.0,Thailand,25,Sor Jor Lekmuangnon,Muay Thai,Male,Out of range,1,3,0,1,0,0,0,0,0,0,0,0,1,4
“Lord” Parsa Aminpour,-1,178.0,Iran,24,Tiger Muay Thai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Paruehatnoi TBM Gym,-1,180.0,Thailand,24,TBM Gym,Muay Thai,Male,Out of range,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Patakaek Theppakin,-1,170.0,Thailand,27,3rd Army Area,Muay Thai,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Patakake Sinbimuaythai,58.0,168.0,Thailand,27,Sinbi Muaythai,Muay Thai,Male,Flyweight,1,3,0,0,0,0,0,0,0,0,0,3,0,4
Pataknin Sinbimuaythai,55.3,168.0,Thailand,22,Sinbi Muaythai,Muay Thai,Male,Strawweight,4,1,0,0,0,0,4,0,1,0,0,0,0,5
Patrik Szana,-1,174.0,Hungary,24,Phuket Fight Club,Muay Thai,Male,Out of range,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Paul “King of the North” Elliott,106.6,185.0,United Kingdom,32,Akurei MMA Academy / TFT,MMA,Male,Heavyweight,1,2,1,1,0,0,0,0,1,0,0,0,0,4
Payakkiri Misakawan,56.4,165.0,Thailand,23,Misakawan,Muay Thai,Male,Strawweight,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Payakmekin Jomhodmuaythai,59.8,171.0,Thailand,18,Jomhod Muaythai,Muay Thai,Male,Flyweight,1,1,0,0,0,0,0,1,1,0,0,0,0,2
Payakrut Suajantokmuaythai,-1,170.0,Thailand,19,Suajan Tok Ban Muay Thai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Payaksurin JP Power,53.7,168.0,Thailand,20,JP Mansion Muay Thai,Muay Thai,Male,Strawweight,3,0,0,2,0,0,1,0,0,0,0,0,0,3
Peemai Mor Rattanabundit,65.3,174.0,Thailand,27,Por KobKuea,Muay Thai,Male,Bantamweight,1,1,0,0,0,0,1,0,0,0,0,0,1,2
Liu Peng Shuai,56.7,164.0,China,28,Fighting Bros Club,MMA,Male,Flyweight,1,2,0,0,1,0,0,0,0,1,0,0,0,3
Pentor SP Kansart Paeminburi,-1,175.0,Thailand,21,Paeminburi,Muay Thai,Male,Out of range,3,0,0,0,0,0,1,1,0,0,0,0,0,3
Percival “No Mercy” Oumo Mwambi,58.6,169.0,Australia / Kenya,25,MMAFFT,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Pet Suanluangrodyok,51.6,168.0,Thailand,18,Sitsarawatseur,Muay Thai,Male,Atomweight,2,1,0,1,0,0,0,0,1,0,0,0,0,3
Petaek Sitbigjasskonrakpathum,51.2,168.0,Thailand,18,Thammasat Khlong Luang,Muay Thai,Male,Atomweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Petake Kiatjamroon,-1,160.0,Thailand,28,Kiatjamroon,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Petake Sor Thepparat,-1,171.0,Thailand,23,Sor Thepparat,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Petbanrai Singha Mawynn,-1,168.0,Thailand,24,Singha Mawynn Muay Thai,Muay Thai,Male,Out of range,2,2,0,0,0,0,2,0,1,0,0,1,0,4
Petchainart Sitkumnunneng,54.6,168.0,Thailand,27,Sitkumnunneng,Muay Thai,Male,Strawweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Petchakrit TN Diamond Home,53.3,167.0,Thailand,23,FA Group,Muay Thai,Male,Strawweight,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Petchartchai Fight Geek Muaythai,-1,167.0,Thailand,31,Fight Geek,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Petchayut Nupranburi,55.0,168.0,Thailand,21,Nupranburi,Muay Thai,Male,Strawweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Petchdam “The Baby Shark” Petchyindee,61.2,167.0,Thailand,27,Petchyindee Academy,Muay Thai,Male,Flyweight,5,3,0,0,0,0,0,0,0,0,0,0,1,8
Petchmorakot Petchyindee,70.3,180.0,Thailand,31,Petchyindee Academy,Muay Thai,Male,Featherweight,8,3,1,2,0,0,2,1,0,0,0,3,0,12
Petchnumchai Sor Jor Tongprachin,-1,163.0,Thailand,20,Sor Jaruwan,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Petchuanchom Chor Hapayak,60.0,168.0,Thailand,23,Chor Hapayak,Muay Thai,Male,Flyweight,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Petdam Petkiatpet,60.6,169.0,Thailand,29,Petkiatpet,Muay Thai,Male,Flyweight,2,1,0,0,0,0,0,0,0,0,0,0,0,3
Peter “Saint” Danesoe,56.7,171.0,Denmark / Thailand,24,Team Quest Thailand,MMA,Male,Flyweight,1,2,0,1,0,0,0,0,0,1,0,1,0,3
